ID,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income
74768,LP002231,1,1,0,1,0,8328,0,17,363,1,2,1,6000
79428,LP001448,1,1,0,0,0,150,3857.458782,188,370,1,1,0,6000
70497,LP002231,0,0,0,0,0,4989,314.4725111,17,348,1,0,0,6000
87480,LP001385,1,1,0,0,0,150,0,232,359,1,1,1,3750
33964,LP002231,1,1,1,0,0,8059,0,17,372,1,0,1,3750
20364,LP001778,0,1,0,0,0,1911,4145.477647,65,373,1,2,1,6000
63354,LP002180,1,1,3+,0,0,7121,926.7910253,17,425,1,1,1,6000
67110,LP002585,1,1,1,0,0,3417,647.1625642,17,366,1,0,1,6000
69254,LP001385,1,1,1,1,0,15965,0,17,347,1,2,1,6000
92855,LP002175,1,1,0,0,0,150,0,268,373,1,2,1,3750
76014,LP002231,1,1,3+,0,0,6245,78.64943597,102,371,1,1,1,3750
54856,LP002585,1,1,1,0,0,16140,677.0800048,17,372,1,2,1,3750
11173,LP002224,1,0,0,0,0,16389,0,17,349,0,0,1,5166
98977,LP002180,1,1,0,0,0,9770,702.8830546,262,373,1,2,1,3750
22404,LP002231,1,1,1,1,0,15585,0,17,371,1,2,1,6000
81065,LP001974,1,1,0,0,1,2399,1082.929179,17,365,1,2,1,6000
28735,LP001384,1,1,1,1,1,150,598.54634,236,408,1,1,1,3750
78718,LP001482,1,1,1,0,0,4072,0,264,373,1,1,1,6000
58994,LP002129,1,1,1,0,0,4158,0,94,369,1,1,1,3750
46960,LP002187,1,0,0,0,0,4049,2535.167574,428,371,1,2,1,3750
75936,LP002560,1,1,3+,0,0,5530,0,47,352,1,0,1,3750
53123,LP002231,1,1,0,0,0,7904,4141.108678,17,356,1,1,1,6000
45519,LP002585,1,1,0,0,1,8091,1861.882139,17,370,0,2,1,6000
86278,LP001114,1,1,2,1,0,7032,0,17,359,1,1,1,5166
26132,LP001385,1,1,0,0,0,735,4023.19137,263,398,1,0,1,3750
75584,LP002175,1,1,0,1,0,8154,409.2256495,405,373,1,0,1,6000
44692,LP001790,1,1,0,0,0,276,523.9240805,17,370,1,2,1,3750
81527,LP001385,1,0,0,0,1,8385,4194.36342,17,349,1,1,1,6000
55554,LP002187,1,0,2,0,0,13464,0,146,367,0,1,0,6000
50488,LP002231,0,1,0,0,0,150,0,50,357,1,1,1,3750
19736,LP001465,1,1,0,0,0,150,700.4397254,252,373,1,1,1,6000
20254,LP001541,1,1,3+,0,0,7841,56.79928445,215,356,1,0,1,3750
74607,LP002585,1,1,3+,0,0,16340,4017.185064,50,348,1,2,1,3750
13343,LP002113,1,0,0,0,0,6038,4965.590677,235,372,1,0,1,3750
37591,LP002231,0,1,1,0,0,16160,0,225,369,1,2,1,6000
22291,LP002187,1,1,0,0,0,13820,0,97,348,1,1,1,7200
80672,LP002231,1,1,0,0,0,7848,0,454,363,1,0,1,6000
50293,LP002571,1,1,2,0,0,4324,712.7366033,186,371,1,1,1,3750
56645,LP001798,1,1,0,0,0,8404,32.53886748,17,371,1,1,1,5166
14183,LP002175,1,1,0,0,0,2333,0,17,371,1,1,1,3750
21432,LP002560,1,0,2,0,1,3963,29.80342246,17,370,1,2,1,3750
40155,LP002585,0,1,0,0,1,5064,0,17,373,0,1,1,6000
63029,LP001138,1,1,2,0,0,150,597.3025989,25,368,1,1,1,3547
